,href,address,price,space,lng,lat
97,https://www.immobiliare.it/68759721-Affitto-Loft-Open-Space-via-Enrico-Caviglia-Milano.html,"/ Open Space via Enrico Caviglia, Bologna - Sulmona, Milano",850.0,60.0,9.2301782,45.4422353
98,https://www.immobiliare.it/68759227-Affitto-Bilocale-piazza-Villapizzone-Milano.html,"piazza Villapizzone, Bovisa, Milano",800.0,55.0,9.1489143,45.5011678
99,https://www.immobiliare.it/68759335-Affitto-Bilocale-ottimo-stato-Milano.html,"ottimo stato, Solari, Milano",800.0,65.0,9.1624569,45.4552055
100,https://www.immobiliare.it/68761987-Affitto-Trilocale-viale-Bligny-Milano.html,"viale Bligny, Bocconi, Milano",1350.0,60.0,9.190392800000001,45.4509686
101,https://www.immobiliare.it/68761135-Affitto-Bilocale-viale-viale-Mugello-Milano.html,"viale viale Mugello, Porta Vittoria, Milano",650.0,50.0,9.2238808,45.4598898
102,https://www.immobiliare.it/68759603-Affitto-Trilocale-via-via-Cola-Di-Rienzo-Milano.html,"via via Cola Di Rienzo, Solari, Milano",1300.0,105.0,9.1601483,45.45608199999999
103,https://www.immobiliare.it/68760903-Affitto-Monolocale-via-via-Passo-Buole-Milano.html,"via via Passo Buole, Porta Romana - Medaglie d'Oro, Milano",500.0,20.0,9.2012995,45.4510973
104,https://www.immobiliare.it/68755603-Affitto-Monolocale-viale-San-Gimignano-38-Milano.html,"viale San Gimignano 38, Bande Nere, Milano",1300.0,70.0,9.1364845,45.461504
105,https://www.immobiliare.it/68753827-Affitto-Trilocale-via-Giuseppe-Ripamonti-Milano.html,"via Giuseppe Ripamonti, Quintosole - Chiaravalle, Milano",700.0,70.0,9.2036471,45.42440819999999
106,https://www.immobiliare.it/68754005-Affitto-Trilocale-via-Averardo-Buschi-Milano.html,"via Averardo Buschi, Città Studi, Milano",1300.0,80.0,9.2348315,45.4827677
107,https://www.immobiliare.it/68753663-Affitto-Monolocale-via-Francesco-Brioschi-Milano.html,"via Francesco Brioschi, Pezzotti - Meda, Milano",680.0,22.0,9.181296399999999,45.44276379999999
108,https://www.immobiliare.it/68754035-Affitto-Monolocale-via-Padova-Milano.html,"via Padova, Pasteur, Milano",450.0,20.0,9.2209849,45.4893873
109,https://www.immobiliare.it/68754089-Affitto-Monolocale-via-Magellano-Milano.html,"via Magellano, Dergano, Milano",500.0,25.0,9.1787827,45.5046157
110,https://www.immobiliare.it/68753921-Affitto-Bilocale-via-Domenico-Cimarosa-Milano.html,"via Domenico Cimarosa, Washington, Milano",970.0,56.0,9.1586944,45.4647533
111,https://www.immobiliare.it/68754207-Affitto-Monolocale-via-Francesco-Caracciolo-Milano.html,"via Francesco Caracciolo, Ghisolfa - Mac Mahon, Milano",600.0,42.0,9.1615369,45.49126709999999
112,https://www.immobiliare.it/68754875-Affitto-Bilocale-via-Raffaello-Bertieri-Milano.html,"via Raffaello Bertieri, Tripoli - Soderini, Milano",900.0,50.0,9.1478061,45.4546899
113,https://www.immobiliare.it/68754843-Affitto-Bilocale-via-Principe-Eugenio-Milano.html,"via Principe Eugenio, Cenisio, Milano",850.0,60.0,9.1624582,45.4881544
114,https://www.immobiliare.it/68753657-Affitto-Monolocale-via-Francesco-Caracciolo-Milano.html,"via Francesco Caracciolo, Ghisolfa - Mac Mahon, Milano",600.0,42.0,9.1615369,45.49126709999999
115,https://www.immobiliare.it/68754793-Affitto-Bilocale-via-Giuseppe-Ripamonti-Milano.html,"via Giuseppe Ripamonti, Quintosole - Chiaravalle, Milano",800.0,80.0,9.2036471,45.42440819999999
116,https://www.immobiliare.it/68753833-Affitto-Monolocale-via-Belluno-Milano.html,"via Belluno, Crescenzago, Milano",600.0,34.0,9.2503368,45.5095621
117,https://www.immobiliare.it/68754469-Affitto-Monolocale-via-dei-Tulipani-Milano.html,"via dei Tulipani, Giambellino, Milano",650.0,35.0,9.1379781,45.4491482
118,https://www.immobiliare.it/68753605-Affitto-Monolocale-via-Magellano-Milano.html,"via Magellano, Dergano, Milano",500.0,25.0,9.1787827,45.5046157
119,https://www.immobiliare.it/68752165-Affitto-Bilocale-via-Raffaello-Bertieri-Milano.html,"via Raffaello Bertieri, Tripoli - Soderini, Milano",900.0,50.0,9.1478061,45.4546899
120,https://www.immobiliare.it/68751817-Affitto-Bilocale-viale-Monza-Milano.html,"viale Monza, Pasteur, Milano",750.0,45.0,9.2180092,45.4902851
121,https://www.immobiliare.it/68751631-Affitto-Bilocale-via-Bernardino-Verro-Milano.html,"via Bernardino Verro, Vigentino - Fatima, Milano",900.0,55.0,9.1939595,45.4372047
122,https://www.immobiliare.it/68752031-Affitto-Trilocale-via-Ciro-Menotti-Milano.html,"via Ciro Menotti, Indipendenza, Milano",1380.0,85.0,9.2133722,45.4676128
123,https://www.immobiliare.it/68752377-Affitto-Monolocale-via-Padova-Milano.html,"via Padova, Pasteur, Milano",450.0,20.0,9.2209849,45.4893873
124,https://www.immobiliare.it/68752449-Affitto-Monolocale-via-Napo-Torriani-Milano.html,"via Napo Torriani, Centrale, Milano",30.0,30.0,9.2034224,45.4819119
125,https://www.immobiliare.it/68754335-Affitto-Bilocale-via-via-Domenico-Cimarosa-Milano.html,"via via Domenico Cimarosa, Vercelli - Wagner, Milano",970.0,56.0,9.159098499999999,45.4666155
126,https://www.immobiliare.it/68754703-Affitto-Trilocale-via-via-Buschi-Milano.html,"via via Buschi, Città Studi, Milano",1300.0,80.0,9.2348315,45.4827677
127,https://www.immobiliare.it/68752597-Affitto-Monolocale-via-via-Cenisio-Milano.html,"via via Cenisio, Cenisio, Milano",600.0,42.0,9.1657118,45.4877441
128,https://www.immobiliare.it/68754587-Affitto-Trilocale-via-via-Ripamonti-Milano.html,"via via Ripamonti, Vigentino - Fatima, Milano",700.0,70.0,9.2043208,45.4295907
129,https://www.immobiliare.it/68744797-Affitto-Bilocale-via-Giovanni-Bellezza-15-Milano.html,"via Giovanni Bellezza 15, Bocconi, Milano",800.0,50.0,9.189945,45.4485736
130,https://www.immobiliare.it/68743393-Affitto-Bilocale-viale-Tibaldi-20-Milano.html,"viale Tibaldi 20, Pezzotti - Meda, Milano",780.0,50.0,9.178880999999999,45.441137
131,https://www.immobiliare.it/68743443-Affitto-Trilocale-via-Pompeo-Neri-Milano.html,"via Pompeo Neri, Tripoli - Soderini, Milano",1950.0,175.0,9.144306799999999,45.4562771
132,https://www.immobiliare.it/68743683-Affitto-Monolocale-via-Giovanni-Bellezza-15-Milano.html,"via Giovanni Bellezza 15, Bocconi, Milano",700.0,40.0,9.189945,45.4485736
133,https://www.immobiliare.it/68746145-Affitto-Bilocale-via-Spagnoletto-Milano.html,"via Spagnoletto, Monte Rosa - Lotto, Milano",1430.0,65.0,9.145043200000002,45.4731426
134,https://www.immobiliare.it/68743749-Affitto-Bilocale-via-STRIGELLI-Milano.html,"via STRIGELLI, Martini - Insubria, Milano",600.0,75.0,9.2193636,45.4562086
135,https://www.immobiliare.it/68745533-Affitto-Bilocale-via-SAN-FAUSTINO-Milano.html,"via SAN FAUSTINO, Lambrate, Milano",1000.0,60.0,9.241463399999999,45.47653820000001
136,https://www.immobiliare.it/68742713-Affitto-Bilocale-via-Ciro-Menotti-4-Milano.html,"via Ciro Menotti 4, Indipendenza, Milano",900.0,50.0,9.213446399999999,45.4687857
137,https://www.immobiliare.it/68744137-Affitto-Trilocale-piazza-Giuseppe-Missori-Milano.html,"piazza Giuseppe Missori, Missori, Milano",2500.0,110.0,9.1884177,45.4609447
138,https://www.immobiliare.it/68742773-Affitto-Bilocale-via-Ciro-Menotti-4-Milano.html,"via Ciro Menotti 4, Indipendenza, Milano",1650.0,120.0,9.213446399999999,45.4687857
139,https://www.immobiliare.it/68745909-Affitto-Monolocale-via-Giancarlo-Sismondi-50-Milano.html,"via Giancarlo Sismondi 50, Agonne - Corsica, Milano",650.0,35.0,9.2313484,45.4654666
140,https://www.immobiliare.it/68746201-Affitto-Bilocale-viale-Gran-Sasso-Milano.html,"viale Gran Sasso, Città Studi, Milano",800.0,50.0,9.2202782,45.4821179
