OBJECTID;COD_PROG;INDIRIZZO;TIPO_MACRO;R10;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
256;A621;VIA PESARO 50;PRODUTTIVO;SI;9;83;BRUZZANO;9.17232156196498;45.5346162597472;(45.5346162597472, 9.17232156196498)
257;A620;VIA PESARO 50;PRODUTTIVO;SI;9;83;BRUZZANO;9.17252165398896;45.5348046068977;(45.5348046068977, 9.17252165398896)
258;A640;VIA SBODIO GAETANO 18;PRODUTTIVO;SI;3;23;LAMBRATE - ORTICA;9.24604165201705;45.483578780005;(45.483578780005, 9.24604165201705)
259;A641;VIA FOLLI EGIDIO 45;PRODUTTIVO;SI;3;23;LAMBRATE - ORTICA;9.24857803642995;45.4863814464596;(45.4863814464596, 9.24857803642995)
260;A642;VIA FOLLI EGIDIO 57;PRODUTTIVO;SI;3;23;LAMBRATE - ORTICA;9.25025781004265;45.4866145280565;(45.4866145280565, 9.25025781004265)
261;A643;VIA FOLLI EGIDIO 32/A;PRODUTTIVO;SI;3;23;LAMBRATE - ORTICA;9.24658984842835;45.4855711085203;(45.4855711085203, 9.24658984842835)
262;A644;VIA ARRIGHI CLETTO 16;PRODUTTIVO;SI;3;23;LAMBRATE - ORTICA;9.24961329374436;45.4823554301812;(45.4823554301812, 9.24961329374436)
263;A645;VIA PRIORATO 7;PRODUTTIVO;SI;3;23;LAMBRATE - ORTICA;9.2429220044731;45.4741365260536;(45.4741365260536, 9.2429220044731)
264;A646;VIA SAN FAUSTINO 7;RESIDENZIALE;SI;3;23;LAMBRATE - ORTICA;9.24149603643368;45.4719818688341;(45.4719818688341, 9.24149603643368)
265;A647;VIA LAMARMORA 10;SERVIZI;SI;1;4;GUASTALLA;9.19790577024146;45.456329634426;(45.456329634426, 9.19790577024146)
266;A648;VIA ALFIERI 7;RESIDENZIALE;SI;1;69;SARPI;9.17621236581319;45.4787800693091;(45.4787800693091, 9.17621236581319)
267;A649;VIA MOLINO DELLE ARMI 12;RESIDENZIALE;SI;1;1;DUOMO;9.18569113525071;45.4564636411279;(45.4564636411279, 9.18569113525071)
268;A650;VIA BANDELLO 22;RESIDENZIALE;SI;1;7;MAGENTA - S. VITTORE;9.16561617450281;45.4631292536888;(45.4631292536888, 9.16561617450281)
269;A651;VIA SANTA MARIA PODONE 1;RESIDENZIALE;SI;1;1;DUOMO;9.1836636962843;45.4633826650129;(45.4633826650129, 9.1836636962843)
270;A652;VIA CONTE ROSSO 20;RESIDENZIALE;SI;3;23;LAMBRATE - ORTICA;9.24282345841295;45.4830384308348;(45.4830384308348, 9.24282345841295)
271;A654;VIA CAMPAZZINO 12;PRODUTTIVO;SI;5;38;VIGENTINO - Q.RE FATIMA;9.1941822090279;45.4339136268883;(45.4339136268883, 9.1941822090279)
272;A653;VIA TERTULLIANO 65;PRODUTTIVO;SI;4;28;UMBRIA - MOLISE - CALVAIRATE;9.22295040670974;45.4485800684095;(45.4485800684095, 9.22295040670974)
273;A102;VIA ARRIGHI CLETTO 11;PRODUTTIVO;SI;3;23;LAMBRATE - ORTICA;9.24901745352842;45.4815304731705;(45.4815304731705, 9.24901745352842)
274;R306;VIA RIPAMONTI GIUSEPPE 137;PRODUTTIVO;SI;5;36;SCALO ROMANA;9.20058787999916;45.4373908849498;(45.4373908849498, 9.20058787999916)
275;A351;VIA MAIOCCHI ACHILLE 13;RESIDENZIALE;SI;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21349819634577;45.4757556029696;(45.4757556029696, 9.21349819634577)
276;A381;VIA MANFREDONIA 4;PRODUTTIVO;SI;6;48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;9.13238823739925;45.4413949562802;(45.4413949562802, 9.13238823739925)
277;A424;VIA VALTELLINA 29;COMMERCIALE;SI;9;78;FARINI;9.18238545686714;45.4950545674541;(45.4950545674541, 9.18238545686714)
